userName,score,at,content
Muhammad Taufik Septiyano,5,2024-04-03 03:42:36,"Ruang guru best deh,kalo ada masalah cepet banget ditanggapi,jd ngak nyesel udah langganan 😍😍"
Ari vernando,5,2024-04-03 01:03:55,"Bagus banget untuk belajar utbk, aku diberi teman aku akun untuk belajar utbk karena dia sudah lulus snbp aku berterimakasih se banyak banyaknya kepada-nya karena penjelasan dan cara cara yang diajarkan oleh ruang guru mudah aku fahami dan semoga aku mendapat skor utbk 700+ di saat utbk nanti di tanggal 30 April 2024, btw nama teman ku Nayla Ramadhani Putri Marly dia diterima di universitas Andalas jurusan keperawatan, semoga segala hal yang dia impikan dipermudah oleh Allah SWT"
Marwinto Sinaga,2,2024-04-02 09:05:14,Bagus sekali
Imel Nptpl,5,2024-04-02 08:53:50,"bagus, sangat membantu dalam pembelajaran saya"
Sevtia Hapsari,1,2024-04-02 00:05:52,Gabisa buat drill soal
Worumy,5,2024-04-01 13:04:16,Pelajaran bahasa ingris kelas 6 SD
Erika Syafitri,5,2024-04-01 12:10:41,"Rekomended bgtt aplikasi satu ini benar"" membantu, dan penjelasannya pun sangat mudah di mengerti"
Amel Sayang,5,2024-04-01 07:47:28,Sangat membantu sekali
YOLANDA TRI MEYLANI YOLANDA,5,2024-04-01 06:25:47,"Sangat membantu bagi para pelajar, penjelasannya benar benar mendetail"
Yurni Yurni,5,2024-04-01 03:41:23,Partner belajar terbaik
Winnie Natasha,5,2024-04-01 02:14:58,Out Toddd email address pernah laser
Ahmad Dzikran,5,2024-03-31 13:34:21,Penjelasan2nya sangat mudah dicerna
Mutia Raye12,5,2024-03-31 12:06:49,Keren
Arda Pakpahan,5,2024-03-31 08:07:06,Ruang guru THE BEST dehh 👍👍
NANDA ALISIA TUZAHRA,5,2024-03-31 06:22:02,Mantap
Vionaa •3•,5,2024-03-31 06:09:35,Sgt bermanfaat
NI LUH SUARTINAH,5,2024-03-31 01:24:55,Bagus ruang gutu
Kenjo TP,3,2024-03-30 17:18:46,"Bagus servis yang disediakan, cuma aplikasinya berantakan banget susah navigasi, saran saya rapikan UI UX nya biar lebih clear, ini semuanya didempet ke satu section bikin pusing"
Ady Yasa Zuhri,1,2024-03-30 05:02:20,"agennya nipu, uda langganan 300 ribu buat fokus try out utbk, malah disuruh langganan lagi, buang buang duid gw, uda agennya maksa pas di tanya cuman fokus ”kakak bantu klaimkan” bukannya dijelasin, rugi hgt duid gww, nyesel banget ya Allah"
Arsy HaffafAmara,5,2024-03-30 01:18:52,enak belajar di ruang guru banyak fitur menarik dan kita bisa milih paket sesuai keinginan kita terus video-video nya tuh singkat jadi gak ngebosenin lebih ditingkatkan lagi sih kataku
Naila Sabrina,3,2024-03-29 16:02:50,"Agak aneh apk nya Saya udah try out kuota tryout udah habis ,tapi ga bisa lihat hasil pencapaian aneh kan"
bubu,5,2024-03-29 16:00:47,Sangat membantu dalam mempersiapkan UTBK SNBT. Terima kasih banyak Ruangguru 🙏🔥🔥
Felisia Cia,1,2024-03-29 14:08:33,Secara pribadi saya kecewa dengan ruang guru. Karena vidio yg telah saya download tidak bisa diputar dalam kondisi offline. Mohon ditanggapi
Shulhan Nur dzikrillah,5,2024-03-29 03:22:59,Good
