userName,score,at,content
Mahdalena,3,2024-05-07 12:19:35,Sebenarnya bagussih tapi setiap mau kuis harus beli paket jadi gak semangat
Ishlahur Rahmi,5,2024-05-07 12:17:26,"Desainnya bagus, interaktif, kreatif, mudah2an bermanfaat terus buat anak2.."
Dens ft (EXP),5,2024-05-06 20:05:06,Saya belajar di aplikasi ruang guru 1 tahun dan aku sekarang pintar dari semua hal
Midha Ridwan,5,2024-05-06 13:29:00,saya pakai aku emak saya saya tuh pas dolnod ruangguru bingungcara pake nya gmn habis itu saya udah ngerti gimana cara pakenya ternyata ruang guru itu menyenangkan danbisa menambah ilmu saya aja masih sd kls 2 saya sangat suka belajar sama ruang guru klau ada pr yang susah saya bisa buka ruang guru pokoknya mantap!saya bisa belajar dan bermain setelah dolnod ruang guru saya jadi bisa bikin pr yang susah menjadi gampang
Muhammad Raditrafif,5,2024-05-06 03:48:47,Bagus sekali untuk anak2 bisa tambah2 Pelajaran 🙏🙏
Andri R,5,2024-05-06 02:43:01,"Bagus, rekomendasi buat anak2, pengganti bimbel"
Candika Sensei,5,2024-05-05 06:40:32,"Saya sangat suka sekali dengan aplikasi ini sangat membantu untuk mengerjakan tugas dan memahami dari video dari aplikasi ini, hebatt pertama kali cobaa langsung bestt apk luvv"""
Yasmin nuraisyah balqis,5,2024-05-05 04:31:55,Bagus aplikasinya Saya sangat suka sama fitur nya
Aku Kalibaru,5,2024-05-04 09:46:25,Aplikasi ruang Guru sangat bagus sekali
Reza,1,2024-05-03 07:11:15,"Suka memaksa, seperti maksa untuk chat narahubung, maksa rating. Design nya terlalu rame pusing, kebanyakan fitur yang ga berguna, kalau to di web jadi ga jelas soal sama opsi jawaban dipisah kanan dan kiri ini ga sesuai sama layout utbk, bikin pusing"
Arsita Dwi Mulyani,4,2024-04-29 06:44:59,"aplikasi kurang maksimal, banyak erornya. harus tingkatin lagi di pengembangan aplikasi dan web juga."
Nezuko,5,2024-04-28 16:04:10,"overall good, penjelasan nya yang mudah di pahami,pertayaan yang membuat makin seru"
Suraya,5,2024-04-28 14:57:06,"Bagus dan efektif cocok jadi aplikasi belajar apalagi saya suka bahasa Indonesia, pembahasan nya juga lengkap bangettt."
Gading Prasetya,1,2024-04-28 12:46:18,Padahal jaringan nya baik baik saja tapi disitu tertulis error.
Suarni arni Dg Nini,5,2024-04-28 12:04:11,Baru pertama kali menggunakan ruang guru dan sangat bagus tempat utk belajar
Bara Nur,5,2024-04-27 21:42:43,"Baru mulai menggunakan, khusus materi bagi guru. Sangat membantu bagi guru, khususnya yang ingin mencari metode pembelajaran yang relevan"
Faizfatahilla,5,2024-04-27 09:07:00,Aplikasi ruang guru itu sangat bagus karena pembelajaran yang lengkap dan juga perkembangan proses belajar juga sangat bagus
Daniel Junius,1,2024-04-25 12:45:23,Kasih bintang 1 dulu soalnya apk nya lagg parah fitur² nya udah ok hanya saja brain academy nya lag parah kadang² suka ngeror sendiri untuk kedepannya mohon diperbaiki 🙏🙏
Mebta Widyaningrum,5,2024-04-25 06:36:48,Sangat membantu dalam belajar
Yuan,3,2024-04-25 04:16:56,"kalo mau drill soal error' terus, udah dilaporin tapi minim tanggapan"
Monika Agnes,5,2024-04-24 16:46:28,Bagus sih lumayan seru deh belajar sama ruang guru
shana sshera,1,2024-04-24 13:32:02,"no, just no. pertama kali make roboguru plus nya, ngga dijawab sama tutornya, duit sdh dipake Tapi jawaban ngga didapetin, komplain di semua platform nya responnya kurang bgt deh."
Catur Wulan Ningrum,5,2024-04-24 11:13:09,Sangat baik tidak ada iklan bintang 5 deh soal soalnya bikin seru
Araya Bunga,1,2024-04-24 09:24:10,"Lemot, bikin kesel, kalah sm game yg make memo 15gb, aneh internet lancar kok lemot, padahal memo juga masih 12gb, ckkckckck perbaiki lg, ato bisa ku bilang ni apk g 'fine'."
Dvina,5,2024-04-23 13:32:25,"Seru banget untuk di pakai belajar, ga bikin bosen."
Yudha ksks,2,2024-04-23 02:47:30,"Aplikasinya bagus, fiturnya tambahin lagi misalnya ada soal tryout yang tidak jelas bisa dilaporkan. Cuman ada satu hal yg bikin jengkel, kalau kelas offline ada aja MT yang ngajar banyak bercandanya, ngobrol hal yang gajelas out of the topic sampe satu kelas berisik. Alhasil disana belajar sendiri, giliran dia minta dihargain penjelasannya jujur aja, malah bikin gamood belajar. Udah gitu nyindir banget trus bawaannya caper ke satu temen kelas. Gatau jadi omongan MT/engga gw ini tolonglah ngerti"
Saskia Amelia P,2,2024-04-21 23:18:52,"Saat saya ingin scroll riwayat sesi, rasanya sangat sulit. Karena loading dan bug yang membuat saya tidak bisa scroll ke bawah. Saat saya sudah di bagian yang sudah ke load, malah naik lagi ke atas. Mohon segera di perbaiki"
Haekal Permana Jibran (Haekal),1,2024-04-21 15:19:31,"cara buka ruangbelajar d versi terbaru bagaimana, kok tampilannya hilang bikin susah mau belajar"
HafidzAnNaufal Fairoedin,2,2024-04-21 10:06:00,"Enggak rugi berlangganan ruangguru! Materi pembelajarannya mudah dipahami dan sangat interaktif, belajar jadi tidak membosankan. Tapi kenapa jadi susah masuk app nya loading nya juga lama padahal jaringan internet stabil"
Fauzan Surya,5,2024-04-20 12:41:48,Asli keren banget dah kalo belajar pake ini
Samsung Flip,4,2024-04-20 07:36:36,Gak suka.banget pas enak enak belajar nonton vidio malah disuruh verifikasi code mulu udah 50 kali verifikasi code padahal
Jeff,5,2024-04-20 04:05:31,"lumayan luas kalau mau belajar utbk, bisa dari dasar dan latihan soal juga tersedia jadi bagus👍"
Julius Nababan,5,2024-04-20 03:27:53,video yang diberikan sangat baik dan dapat dipahami
Morahati Gultom,5,2024-04-19 08:39:33,"Aplikasinya bagussssssssssssss bgt buat belajar, awal belajar dapet gratis tapi skrng malah bayar sedih bgt🤧"
Andre Bagus Purnama,1,2024-04-19 06:12:05,apalah uda langganan 2 taun terus langganan nya selesai.terus terusan di telfon buat lanjut langganan kaya punya utang pinjol astaghfirullah di telfonin terus mohon untunk ruang guru stop buat spam panggilan dan ngirim di wa ganggu banget 😒😒😒😒🙏🙏
Azka Ell,5,2024-04-19 05:34:29,bagus banget ruang guru memudahkan saya untuk belajar
abdul razak,2,2024-04-18 17:08:59,"ini ruangguru skrg knp dah, pada error semua, countdown snbt harusnya belasan hari jadi 99 hari, menu playlist belajar jg ilang, kacau"
Samha Saufa,5,2024-04-18 11:05:51,"Ruangguru bikin cepat paham pelajaran di sekolah. Pokoknya , kalau ada pelajaran yang tidak kalian mengerti , tonton aja di ruangguru , dijamin bikin cepat paham"
Rahmat Ramadhan,5,2024-04-18 09:57:51,"Sejak saya menggunakan aplikasi ini alhamdulillah sangat membantu saya dalam mempelajari soal soal yg sulit dikerjakan, dan semoga kedepan menjadi aplikasi bimbel yg memiliki user yg banyak"
ajeng aja,4,2024-04-17 11:24:03,Aplikasi ini membantu sekali untuk belajar MTK dan iPas
Eti Setiawati,4,2024-04-17 09:13:48,Aplikasinya sudah bagus banget namun pas nonton video kalau yg tidak premium cuma 30 detik minimal 1 menitan lah jangan 30 detik doang jadinya tidak paham materi pelajarannya...
rizxijj amaliyah,5,2024-04-17 05:58:18,Aplikasi ini sangat membantu saya untuk belajar di rumah ruang guru semangat ya meningkatkan aplikasinya lagi
err,5,2024-04-16 12:51:10,"sangat membantu dalam proses pembelajaran, pembahasan yang diberikan juga mudah dimengerti. ruang guru benar benar menjadi teman belajar saya semoga dengan adanya ruang guru ini saya dan teman teman sekalian bisa mencapai tujuan yang diinginkan yaa, aamiin."
Imbang Romandung,5,2024-04-15 14:11:08,Terimakasih ruang guru karena ada aplikasi ruangguru saya jadi bisa belajar semak simalmungkin dan tidak akan bosan karena banyak fitur fitur yang menyenangkan.sehingga saya semangat untuk belajar di ruang guru Terimakasih ruangguru😊😊😊🤗🤩🤩
Najwa Nurbaiti,4,2024-04-15 03:56:34,Ruangguru bikin aku makin rajin belajar karena fiturnya yang asik dan vidio yg edukatif.mantab!!
Sakura Aysfa,5,2024-04-14 13:52:41,"Sangat membantu , nilai saya jadi lumayan naik saat saya belajar di ruangguru"
Rinrin,5,2024-04-14 01:26:54,"Enjoy banget bisa belajar di app ini, thank you Ruangguru!!!💐"
Ramzy Irfani,2,2024-04-12 08:21:50,"Untuk scrolling soal cerita yang panjang agak susah, isi vidionya bagus tapi simpulan vidionya nggak sesuai ama isi vidio (jarang si sebenarnya, tapi kalau gitu fatal karena yang dicatat kesimpulannya, kalau kesimpulannya salah, tapi isi vidionya benar. Rugi dong), dan bila soalnya memuat gambar agak susah muncul gambarnya"
Fredy Putra Dio,5,2024-04-12 07:48:22,"Gurunya ramah, penjelasanya mudah dimengerti"
Marie Marylyn Angelica,5,2024-04-11 14:31:13,"Good, bikin mood bljr naik, dan penjelasan nya mudah dipahami"
04. Anggi Lestari Kinasih D.,5,2024-04-11 05:03:33,materi utbk-nya interaktif dan mudah dimengerti. fitur laporan belajar dan review materi juga membantu banget buat tau kekurangan kita dimana👍
